condition,val_acc_all,val_acc_small,val_acc_medium,val_acc_large
orig_full,0.5847457627118644,0.5434782608695652,0.5405405405405406,0.6857142857142857
orig_crop,0.635593220338983,0.5652173913043478,0.5945945945945946,0.7714285714285715
downscale,0.576271186440678,0.5217391304347826,0.5135135135135135,0.7142857142857143
motion_blur,0.5423728813559322,0.391304347826087,0.6216216216216216,0.6571428571428571
occlusion,0.5169491525423728,0.5217391304347826,0.43243243243243246,0.6
bg_blur,0.5508474576271186,0.391304347826087,0.4864864864864865,0.8285714285714286
